Município;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;Total
350010 Adamantina;14;20;13;16;19;22;15;18;12;21;17;11;15;19;16;19;26;18;21;332
350020 Adolfo;-;1;-;3;2;4;-;1;3;3;-;3;5;3;2;3;1;2;-;36
350030 Aguaí;22;22;23;28;13;36;18;19;20;20;11;29;16;19;21;25;31;19;28;420
350040 Águas da Prata;5;10;1;3;5;2;4;9;8;2;7;6;4;4;6;8;4;2;6;96
350050 Águas de Lindóia;7;12;9;6;11;12;11;9;6;6;13;7;12;9;13;4;8;20;5;180
350055 Águas de Santa Bárbara;6;5;2;5;-;1;4;4;5;3;2;3;5;4;2;2;3;2;2;60
350060 Águas de São Pedro;2;-;5;-;1;-;3;-;-;1;4;1;-;3;-;1;2;1;1;25
350070 Agudos;16;14;22;17;19;18;31;24;25;26;15;7;15;15;18;15;30;11;19;357
350075 Alambari;1;1;5;4;4;5;6;3;4;3;2;3;3;3;3;2;4;4;4;64
350080 Alfredo Marcondes;3;3;4;1;2;4;4;3;2;1;-;-;4;3;3;3;-;4;2;46
350090 Altair;1;2;1;2;2;-;-;8;4;2;1;1;3;4;2;3;-;3;3;42
350100 Altinópolis;7;13;9;7;10;4;9;9;14;8;7;4;6;6;11;11;14;10;17;176
350110 Alto Alegre;3;1;3;1;2;1;3;1;1;2;-;1;2;3;2;1;2;1;2;32
350115 Alumínio;3;8;12;12;7;8;7;8;9;8;8;13;8;11;8;7;4;8;11;160
350120 Álvares Florence;4;1;3;4;-;-;2;1;4;1;2;2;2;2;4;3;2;2;2;41
350130 Álvares Machado;16;12;5;10;24;10;17;18;16;12;10;9;9;14;9;23;19;9;20;262
350140 Álvaro de Carvalho;2;4;-;2;-;7;4;-;1;2;1;2;5;3;5;1;5;2;2;48
350150 Alvinlândia;1;2;1;-;1;2;1;-;2;-;1;3;1;2;3;-;2;1;1;24
350160 Americana;106;106;113;122;121;95;84;105;108;100;104;102;103;93;113;101;89;94;113;1972
350170 Américo Brasiliense;12;11;11;16;10;10;16;14;17;21;12;22;9;21;26;13;21;20;19;301
350180 Américo de Campos;7;1;1;3;4;4;2;3;2;-;4;5;9;2;2;7;5;6;2;69
350190 Amparo;38;32;41;49;47;45;34;37;44;47;39;50;45;37;40;38;41;36;31;771
350200 Analândia;2;-;2;1;-;2;3;2;4;1;-;2;3;1;3;1;2;1;2;32
350210 Andradina;36;50;41;32;31;43;35;32;27;40;34;22;40;38;47;46;37;35;42;708
350220 Angatuba;15;16;11;13;14;5;12;14;14;9;10;22;5;15;13;15;14;11;7;235
350230 Anhembi;3;6;2;1;-;2;4;4;3;4;2;1;7;7;4;1;6;5;4;66
350240 Anhumas;1;2;2;1;3;1;2;-;1;1;2;1;1;1;4;-;1;2;2;28
350250 Aparecida;23;42;21;13;23;21;17;22;30;20;21;15;16;23;18;26;24;19;12;406
350260 Aparecida d'Oeste;5;-;6;2;3;1;5;-;2;1;-;-;1;3;2;2;3;1;2;39
350270 Apiaí;15;15;16;7;17;8;12;17;17;11;11;8;6;17;11;8;8;19;8;231
350275 Araçariguama;19;17;10;26;18;12;16;13;9;16;14;12;11;16;11;12;23;23;11;289
350280 Araçatuba;112;126;128;132;115;137;110;128;123;142;131;101;113;119;133;107;101;111;139;2308
350290 Araçoiaba da Serra;16;11;16;13;19;20;21;13;12;24;22;24;24;20;23;22;18;17;20;355
350300 Aramina;2;3;3;3;2;1;5;5;2;6;-;2;-;3;3;1;-;4;2;47
350310 Arandu;2;-;-;5;2;2;5;2;2;4;3;2;1;2;2;2;1;6;2;45
350315 Arapeí;2;-;1;-;3;1;1;3;4;1;-;2;-;-;-;-;-;2;3;23
350320 Araraquara;120;100;119;122;123;123;154;115;102;107;111;104;124;116;118;102;123;118;88;2189
350330 Araras;66;52;66;63;81;73;80;69;73;78;64;55;62;70;75;73;63;57;57;1277
350335 Arco-Íris;-;1;-;1;-;-;2;1;6;2;-;-;4;-;1;4;1;-;1;24
350340 Arealva;2;2;4;2;3;3;2;4;6;2;4;3;3;3;5;5;5;4;8;70
350350 Areias;1;2;1;2;1;2;3;1;1;5;1;1;2;2;1;2;5;1;4;38
350360 Areiópolis;7;8;6;8;6;1;5;2;2;9;3;4;8;7;6;4;5;5;6;102
350370 Ariranha;2;4;4;4;6;6;3;4;4;3;5;9;8;8;6;2;6;4;1;89
350380 Artur Nogueira;27;13;13;26;20;26;20;27;31;20;15;22;28;25;24;17;24;19;20;417
350390 Arujá;58;59;65;67;67;68;46;53;58;48;50;50;51;49;48;54;54;38;45;1028
350395 Aspásia;-;2;2;-;1;2;1;1;2;4;1;-;-;3;-;2;-;2;1;24
350400 Assis;79;52;69;65;66;47;65;46;51;69;49;31;55;51;38;45;35;48;58;1019
350410 Atibaia;81;82;81;87;106;89;104;101;101;84;92;94;117;101;108;104;108;87;98;1825
350420 Auriflama;12;8;5;3;5;7;5;8;10;8;4;9;7;7;2;8;13;11;12;144
350430 Avaí;5;6;6;2;9;1;1;4;1;3;5;1;2;2;1;6;3;2;4;64
350440 Avanhandava;5;5;2;4;1;7;9;4;1;4;3;3;3;8;8;14;6;7;-;94
350450 Avaré;42;49;52;46;42;57;69;66;60;56;55;47;44;53;46;48;52;47;49;980
350460 Bady Bassitt;4;7;4;5;4;12;6;5;11;9;9;11;7;12;8;13;13;7;11;158
350470 Balbinos;-;-;-;-;-;1;-;-;-;-;3;1;4;3;3;2;1;3;-;21
350480 Bálsamo;4;4;3;5;6;10;5;-;2;8;9;4;5;6;7;8;5;4;6;101
350490 Bananal;6;5;4;4;7;4;5;4;5;5;2;3;2;4;6;1;1;5;2;75
350500 Barão de Antonina;1;1;1;1;2;4;3;1;1;5;2;-;1;1;-;1;1;4;4;34
350510 Barbosa;4;-;6;1;3;2;6;3;4;4;4;5;4;1;1;1;4;-;7;60
350520 Bariri;18;19;14;23;14;18;11;8;20;18;15;10;13;16;15;14;17;14;14;291
350530 Barra Bonita;20;18;20;15;16;21;17;19;18;9;23;12;24;21;23;26;21;20;13;356
350535 Barra do Chapéu;1;1;1;3;1;2;3;3;2;2;4;4;1;6;1;1;3;-;3;42
350540 Barra do Turvo;20;9;18;7;9;17;15;14;14;14;8;13;6;10;13;12;11;14;8;232
350550 Barretos;74;60;58;80;57;77;53;70;78;71;71;68;84;55;65;77;56;84;71;1309
350560 Barrinha;23;26;19;19;16;19;29;24;20;13;10;14;17;16;18;11;14;20;21;349
350570 Barueri;220;213;232;290;243;267;244;242;183;191;159;163;132;151;163;137;175;139;168;3712
350580 Bastos;14;15;12;8;15;17;5;8;6;9;12;11;12;11;8;12;20;8;18;221
350590 Batatais;30;25;29;28;28;26;39;24;33;34;24;15;23;34;35;27;37;20;18;529
350600 Bauru;186;193;194;221;199;192;227;218;211;195;189;161;182;167;199;189;182;194;193;3692
350610 Bebedouro;49;58;47;41;63;38;48;31;48;43;33;44;43;36;55;38;49;45;44;853
350620 Bento de Abreu;1;3;1;-;1;3;2;2;-;1;3;1;1;-;1;-;1;-;1;22
350630 Bernardino de Campos;7;17;6;7;13;17;9;4;13;4;6;4;11;9;3;9;8;5;8;160
350635 Bertioga;52;31;33;36;33;41;45;32;44;37;38;37;38;32;30;31;32;39;36;697
350640 Bilac;3;2;2;4;2;2;4;3;5;3;3;5;1;6;7;8;7;3;3;73
350650 Birigui;63;56;60;59;67;66;67;55;68;71;66;43;54;58;42;42;56;45;53;1091
350660 Biritiba-Mirim;14;12;21;15;12;15;17;15;20;14;14;8;11;20;22;9;25;14;22;300
350670 Boa Esperança do Sul;9;8;5;11;5;6;9;7;7;9;6;8;7;9;6;4;7;3;7;133
350680 Bocaina;7;3;7;3;5;10;6;7;4;5;5;7;11;8;12;7;6;12;3;128
350690 Bofete;3;11;13;5;8;5;1;5;9;15;7;8;6;3;8;6;7;7;10;137
350700 Boituva;24;17;13;24;15;22;27;27;18;22;36;21;23;20;19;26;45;23;31;453
350710 Bom Jesus dos Perdões;12;15;7;12;11;11;13;14;17;15;9;22;13;14;19;16;17;10;14;261
350715 Bom Sucesso de Itararé;1;-;1;1;1;3;1;2;1;3;5;1;2;2;3;4;3;-;2;36
350720 Borá;-;1;1;-;1;1;-;-;1;-;1;1;-;-;-;-;1;-;1;9
350730 Boracéia;3;-;1;-;-;3;1;3;1;-;1;3;-;-;4;1;1;2;7;31
350740 Borborema;8;15;10;7;7;11;3;10;8;4;10;16;7;7;5;8;7;6;31;180
350745 Borebi;-;-;1;-;-;-;1;-;-;2;-;2;1;2;-;-;4;-;1;14
350750 Botucatu;83;85;56;74;80;68;94;68;81;66;82;67;72;77;62;88;82;72;65;1422
350760 Bragança Paulista;85;101;64;59;69;83;74;93;79;105;84;95;86;79;91;87;93;78;90;1595
350770 Braúna;2;3;3;2;4;1;1;1;3;7;2;1;1;2;2;4;2;2;8;51
350775 Brejo Alegre;-;3;-;3;1;1;1;4;2;1;2;3;4;-;1;4;2;1;2;35
350780 Brodowski;12;15;15;10;11;8;12;11;12;7;12;7;7;5;24;7;12;6;12;205
350790 Brotas;10;13;4;22;5;12;15;9;9;14;10;10;8;12;11;10;13;12;12;211
350800 Buri;7;14;12;4;10;17;16;6;7;9;19;10;13;12;13;15;15;15;11;225
350810 Buritama;4;6;8;10;8;12;9;6;11;5;11;8;11;9;5;11;14;6;12;166
350820 Buritizal;1;5;2;3;1;-;1;3;2;2;2;3;1;4;3;1;2;-;4;40
350830 Cabrália Paulista;2;4;5;4;5;1;2;4;2;1;2;3;1;3;3;2;4;5;4;57
350840 Cabreúva;16;24;23;34;26;24;35;30;24;28;20;15;29;13;16;26;23;25;24;455
350850 Caçapava;49;56;60;47;47;60;48;80;62;49;47;51;42;43;36;54;45;28;27;931
